Generic,Category
Budesonide/Formoterol, Respiratory / Allergy
Triamterene/HCTZ, Cardiovascular
Cephalexin, Infectious Disease
Triamcinolone, Pain / Inflammation / Musculoskeletal
Benazepril, Cardiovascular
Hydralazine, Cardiovascular
Guanfacine, Psychiatry / Neurology
Testosterone, Endocrine / Diabetes / Hormones
Valsartan/HCTZ, Cardiovascular
Diazepam, Psychiatry / Neurology
Ethinyl Estradiol/Levonorgestrel, Endocrine / Diabetes / Hormones
Diltiazem, Cardiovascular
Quetiapine Fumarate , Psychiatry / Neurology
Topiramate, Psychiatry / Neurology
Bacitracin/Neomycin/Polymyxin B , Infectious Disease
Clonidine, Cardiovascular
Celecoxib, Pain / Inflammation / Musculoskeletal
Ciprofloxacin, Infectious Disease
Ropinirole, Psychiatry / Neurology
Rivaroxaban, Urology / Anticoagulation / Misc
Levetiracetam, Psychiatry / Neurology
Clindamycin, Infectious Disease
Gemfibrozil, Cardiovascular
Metformin/Sitagliptin, Endocrine / Diabetes / Hormones
Baclofen, Pain / Inflammation / Musculoskeletal
Norethindrone, Endocrine / Diabetes / Hormones
Buspirone, Psychiatry / Neurology
Latanoprost, Urology / Anticoagulation / Misc
Tiotropium, Respiratory / Allergy
Ondansetron, GI / Acid / Electrolytes
Lovastatin, Cardiovascular
Isosorbide Mononitrate, Cardiovascular
Aripiprazole, Psychiatry / Neurology
Doxycycline, Infectious Disease
Insulin Detemir, Endocrine / Diabetes / Hormones
Famotidine, GI / Acid / Electrolytes
Temazepam, Psychiatry / Neurology
Nitroglycerin, Cardiovascular
Nebivolol, Cardiovascular
Verapamil, Cardiovascular
Timolol, Cardiovascular
Valsartan, Cardiovascular
Finasteride, Urology / Anticoagulation / Misc
Amitriptyline, Psychiatry / Neurology
Esomeprazole, GI / Acid / Electrolytes
Tizanidine, Pain / Inflammation / Musculoskeletal
Amoxicillin/Clavulanate Potassium , Infectious Disease
Methotrexate, Pain / Inflammation / Musculoskeletal
Hydrocodone Bitartrate , Pain / Inflammation / Musculoskeletal
Mirtazapine, Psychiatry / Neurology
Nifedipine, Cardiovascular
Promethazine, Psychiatry / Neurology
Benzonatate, Respiratory / Allergy
Memantine, Psychiatry / Neurology
Doxazosin, Cardiovascular
Ezetimibe, Cardiovascular
Alendronate, Endocrine / Diabetes / Hormones
Lisdexamfetamine, Psychiatry / Neurology
Ferrous Sulfate , GI / Acid / Electrolytes
Apixaban, Urology / Anticoagulation / Misc
Diclofenac, Pain / Inflammation / Musculoskeletal
Sulfamethoxazole/TMP , Infectious Disease
Enalapril, Cardiovascular
Docusate, GI / Acid / Electrolytes
Insulin Lispro , Endocrine / Diabetes / Hormones
Pioglitazone, Endocrine / Diabetes / Hormones
Valacyclovir, Infectious Disease
Nirmatrelvir/ritonavir, Infectious Disease
Hydrocortisone, Pain / Inflammation / Musculoskeletal
Morphine, Pain / Inflammation / Musculoskeletal
Risperidone, Psychiatry / Neurology
Sitagliptin, Endocrine / Diabetes / Hormones
Ethinyl Estradiol/Desogestrel , Endocrine / Diabetes / Hormones
Levofloxacin, Infectious Disease
Acyclovir, Infectious Disease
Brimonidine Tartrate , Urology / Anticoagulation / Misc
 Divalproex Sodium, Psychiatry / Neurology
Meclizine Dramamine, Psychiatry / Neurology
Polyethylene Glycol 3350 , GI / Acid / Electrolytes
Liraglutide, Endocrine / Diabetes / Hormones
Digoxin, Cardiovascular
Methylprednisolone, Pain / Inflammation / Musculoskeletal
Omega-3-Acid Ethyl Esters, Cardiovascular
Oseltamivir, Infectious Disease
Amlodipine/Benazepril, Cardiovascular
Adalimumab, Pain / Inflammation / Musculoskeletal
Cyanocobalamin, Endocrine / Diabetes / Hormones
Chlorthalidone, Cardiovascular
Carbamazepine, Psychiatry / Neurology
Pramipexole, Psychiatry / Neurology
Fluconazole, Infectious Disease
Magnesium, GI / Acid / Electrolytes
Glyburide, Endocrine / Diabetes / Hormones
Ethinyl Estradiol/Etonogestrel, Endocrine / Diabetes / Hormones
Lithium, Psychiatry / Neurology
Nortriptyline, Psychiatry / Neurology
Albuterol/Ipratropium, Respiratory / Allergy
Levocetirizine, Respiratory / Allergy
Methocarbamol, Pain / Inflammation / Musculoskeletal
Dicyclomine, GI / Acid / Electrolytes
Carbidopa/Levodopa, Psychiatry / Neurology
Nitrofurantoin, Infectious Disease
Lansoprazole, GI / Acid / Electrolytes
Mirabegron, Urology / Anticoagulation / Misc
Terazosin, Urology / Anticoagulation / Misc
Mometasone, Respiratory / Allergy
Mupirocin, Infectious Disease
Dexmethylphenidate, Psychiatry / Neurology
Canagliflozin, Endocrine / Diabetes / Hormones
Progesterone, Endocrine / Diabetes / Hormones
Cefdinir, Infectious Disease
Acetaminophen/Butalbital, Pain / Inflammation / Musculoskeletal
Budesonide, Respiratory / Allergy
Menthol, Pain / Inflammation / Musculoskeletal
Amiodarone, Cardiovascular
Norgestrel, Endocrine / Diabetes / Hormones
Linagliptin, Endocrine / Diabetes / Hormones
Escitalopram, Psychiatry / Neurology
Alprazolam, Psychiatry / Neurology
Bupropion, Psychiatry / Neurology
Prednisone, Pain / Inflammation / Musculoskeletal
Dupilumab, Respiratory / Allergy
